epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87737,1.44469,3.20302,0.93995,0.01145,1,0.28468,0.22079,0.82339,3.36047,0.7849,0.00034296,0.00034296,0.00034296
2,6.10609,0.92362,1.17073,0.82298,0.01073,1,0.42148,0.33156,0.75936,2.8912,0.78508,0.000686346,0.000686346,0.000686346
3,8.22412,0.77019,0.77445,0.81527,1,0.39244,0.99498,0.83491,0.67106,2.01117,0.77329,0.00101558,0.00101558,0.00101558
4,10.3455,0.75237,0.66096,0.8083,0.99457,0.99698,0.995,0.80537,0.69642,1.067,0.77554,0.00133068,0.00133068,0.00133068
5,12.4311,0.63706,0.57562,0.80796,0.99256,1,0.995,0.80156,0.69728,0.79132,0.77144,0.00131582,0.00131582,0.00131582
6,14.5324,0.69923,0.57735,0.80986,0.99658,1,0.995,0.89859,0.49181,0.55284,0.75666,0.00128753,0.00128753,0.00128753
7,16.6468,0.63556,0.5404,0.79898,0.99702,1,0.995,0.72952,0.82746,0.47387,0.78268,0.00125923,0.00125923,0.00125923
8,18.7115,0.60235,0.52126,0.80661,0.99828,1,0.995,0.90361,0.43641,0.38623,0.75706,0.00123094,0.00123094,0.00123094
9,20.7771,0.53502,0.48345,0.79594,0.99862,1,0.995,0.89601,0.41256,0.34915,0.75549,0.00120265,0.00120265,0.00120265
10,22.7864,0.48151,0.46001,0.79367,0.99905,0.99994,0.995,0.9143,0.40985,0.33561,0.75527,0.00117435,0.00117435,0.00117435
11,24.8759,0.52214,0.45637,0.79262,0.99808,1,0.995,0.90528,0.43296,0.34281,0.75385,0.00114606,0.00114606,0.00114606
12,26.9739,0.52938,0.44698,0.79401,0.99921,1,0.995,0.90365,0.40925,0.32209,0.75752,0.00111776,0.00111776,0.00111776
13,29.0129,0.52583,0.44362,0.79006,0.99885,1,0.995,0.87339,0.4696,0.36388,0.7555,0.00108947,0.00108947,0.00108947
14,31.1014,0.49979,0.42636,0.78542,0.99806,1,0.995,0.91954,0.37633,0.32672,0.7538,0.00106118,0.00106118,0.00106118
15,33.1145,0.46537,0.39902,0.78923,0.99925,1,0.995,0.85204,0.47022,0.33387,0.75764,0.00103288,0.00103288,0.00103288
16,35.1213,0.44272,0.38315,0.78903,0.99882,1,0.995,0.83219,0.56847,0.34522,0.75993,0.00100459,0.00100459,0.00100459
17,37.1199,0.45949,0.38456,0.79985,0.99871,1,0.995,0.908,0.39216,0.31113,0.75257,0.000976293,0.000976293,0.000976293
18,39.2356,0.45511,0.37636,0.78174,0.99923,1,0.995,0.86177,0.50828,0.34435,0.75686,0.000947999,0.000947999,0.000947999
19,41.2668,0.41795,0.34929,0.79086,0.99835,1,0.995,0.86956,0.48133,0.30306,0.75733,0.000919704,0.000919704,0.000919704
20,43.3719,0.3991,0.33755,0.78027,0.99909,1,0.995,0.92434,0.36032,0.2777,0.75103,0.00089141,0.00089141,0.00089141
21,45.4034,0.42303,0.34354,0.77972,0.99912,1,0.995,0.91094,0.38956,0.29614,0.75064,0.000863116,0.000863116,0.000863116
22,47.4109,0.43634,0.35023,0.78206,0.99903,1,0.995,0.93756,0.33067,0.2909,0.74976,0.000834822,0.000834822,0.000834822
23,49.433,0.39465,0.3334,0.78602,0.99901,1,0.995,0.97098,0.28365,0.25954,0.74733,0.000806528,0.000806528,0.000806528
24,51.4463,0.40886,0.33231,0.79241,0.99927,1,0.995,0.95949,0.28172,0.25989,0.74807,0.000778233,0.000778233,0.000778233
25,53.4481,0.36519,0.30793,0.77581,0.99864,1,0.995,0.95865,0.29413,0.25328,0.74786,0.000749939,0.000749939,0.000749939
26,55.4863,0.36333,0.30364,0.78111,0.99924,1,0.995,0.9241,0.33919,0.26131,0.7493,0.000721645,0.000721645,0.000721645
27,57.5013,0.38576,0.31167,0.77897,0.99924,1,0.995,0.94131,0.30672,0.25493,0.74709,0.000693351,0.000693351,0.000693351
28,59.564,0.35978,0.29545,0.78029,0.99927,1,0.995,0.88484,0.44316,0.26738,0.75381,0.000665057,0.000665057,0.000665057
29,61.5794,0.39611,0.30212,0.78342,0.99909,1,0.995,0.8419,0.6076,0.31227,0.761,0.000636762,0.000636762,0.000636762
30,63.5786,0.40832,0.31404,0.78575,0.9991,1,0.995,0.89038,0.44521,0.2713,0.75151,0.000608468,0.000608468,0.000608468
31,65.6132,0.39993,0.30472,0.78228,0.99888,1,0.995,0.89593,0.41552,0.25847,0.75219,0.000580174,0.000580174,0.000580174
32,67.6392,0.34763,0.27733,0.77552,0.99936,1,0.995,0.9673,0.23986,0.22337,0.74517,0.00055188,0.00055188,0.00055188
33,69.6812,0.36568,0.28382,0.78174,0.99931,1,0.995,0.97951,0.22006,0.21632,0.74559,0.000523586,0.000523586,0.000523586
